"YEAR";"P_KIA_NEW";"P_MOSHI_NEW";"P_KIA_OLD";"P_MOSHI_OLD";"P_MEAN_NEW";"P_MEAN_OLD"
"1993-03-01";5;"73.5";5;"73.5";"39.25";"39.25"
"1993-04-01";"50.5";"46.6";"50.5";"46.6";"48.55";"48.55"
"1993-05-01";"47.1";"103.6";"47.1";"103.6";"75.35";"75.35"
"1993-06-01";"1.7";"5.8";"1.7";"5.8";"3.75";"3.75"
"1993-07-01";3;"8.2";3;"8.2";"5.6";"5.6"
"1993-08-01";"7.6";"12.5";"7.6";"12.5";"10.05";"10.05"
"1993-09-01";0;0;0;0;0;0
"1993-10-01";"13.3";35;"13.3";35;"24.15";"24.15"
"1993-11-01";"10.7";"45.2";"10.7";"45.2";"27.95";"27.95"
"1993-12-01";"19.2";"32.2";"19.2";"32.2";"25.7";"25.7"
"1994-01-01";"2.7";"4.7";"2.7";"4.7";"3.7";"3.7"
"1994-02-01";"63.9";"41.9";"63.9";"41.9";"52.9";"52.9"
"1994-03-01";"66.7";"124.8";"66.7";"124.8";"95.75";"95.75"
"1994-04-01";"79.4";"174.4";"79.4";"174.4";"126.9";"126.9"
"1994-05-01";"68.2";"178.3";"68.2";"178.3";"123.25";"123.25"
"1994-06-01";"0.8";"8.9";"0.8";"8.9";"4.85";"4.85"
"1994-07-01";"12.6";"13.6";"12.6";"13.6";"13.1";"13.1"
"1994-08-01";0;"2.7";0;"2.7";"1.35";"1.35"
"1994-09-01";"1.1";"2.7";"1.1";"2.7";"1.9";"1.9"
"1994-10-01";"4.3";"70.8";"4.3";"70.8";"37.55";"37.55"
"1994-11-01";"27.3";"27.5";"27.3";"27.5";"27.4";"27.4"
"1994-12-01";39;"68.4";39;"68.4";"53.7";"53.7"
"1995-01-01";31;"11.1";31;"11.1";"21.05";"21.05"
"1995-02-01";"70.6";"38.8";"70.6";"38.8";"54.7";"54.7"
"1995-03-01";"30.2";"71.9";"30.2";"71.9";"51.05";"51.05"
"1995-04-01";"203.2";508;"203.2";508;"355.6";"355.6"
"1995-05-01";107;"210.9";107;"210.9";"158.95";"158.95"
"1995-06-01";0;"4.1";0;"4.1";"2.05";"2.05"
"1995-07-01";"1.1";"6.4";"1.1";"6.4";"3.75";"3.75"
"1995-08-01";"7.5";"17.7";"7.5";"17.7";"12.6";"12.6"
"1995-09-01";3;"1.8";3;"1.8";"2.4";"2.4"
"1995-10-01";"19.5";"34.4";"19.5";"34.4";"26.95";"26.95"
"1995-11-01";0;"9.5";0;"9.5";"4.75";"4.75"
"1995-12-01";"57.8";"47.5";"57.8";"47.5";"52.65";"52.65"
"1996-01-01";"29.3";"12.9";"29.3";"12.9";"21.1";"21.1"
"1996-02-01";"77.3";"76.7";"77.3";"76.7";77;77
"1996-03-01";"82.4";"51.6";"82.4";"51.6";67;67
"1996-04-01";"83.9";"218.1";"83.9";"218.1";151;151
"1996-05-01";"80.5";"194.6";"80.5";"194.6";"137.55";"137.55"
"1996-06-01";0;"6.5";0;"6.5";"3.25";"3.25"
"1996-07-01";"4.2";"8.4";"4.2";"8.4";"6.3";"6.3"
"1996-08-01";0;"1.7";0;"1.7";"0.85";"0.85"
"1996-09-01";0;5;0;5;"2.5";"2.5"
"1996-10-01";"0.8";"5.8";"0.8";"5.8";"3.3";"3.3"
"1996-11-01";"16.1";"18.9";"16.1";"18.9";"17.5";"17.5"
"1996-12-01";"4.3";0;"4.3";0;"2.15";"2.15"
"1997-01-01";"4.2";0;"4.2";0;"2.1";"2.1"
"1997-02-01";0;"12.6";0;"12.6";"6.3";"6.3"
"1997-03-01";"58.1";"126.9";"58.1";"126.9";"92.5";"92.5"
"1997-04-01";"330.5";374;"330.5";374;"352.25";"352.25"
"1997-05-01";"201.2";"182.2";"201.2";"182.2";"191.7";"191.7"
"1997-06-01";"32.5";"18.6";"32.5";"18.6";"25.55";"25.55"
"1997-07-01";"11.1";"14.7";"11.1";"14.7";"12.9";"12.9"
"1997-08-01";0;"0.6";0;"0.6";"0.3";"0.3"
"1997-09-01";0;1;0;1;"0.5";"0.5"
"1997-10-01";"52.9";"130.5";"52.9";"130.5";"91.7";"91.7"
"1997-11-01";"73.5";"107.2";"73.5";"107.2";"90.35";"90.35"
"1997-12-01";"119.9";"65.7";"119.9";"65.7";"92.8";"92.8"
"1998-01-01";"125.3";"287.2";"125.3";"287.2";"206.25";"206.25"
"1998-02-01";"165.7";"151.2";"165.7";"151.2";"158.45";"158.45"
"1998-03-01";"29.6";"44.4";"29.6";"44.4";37;37
"1998-04-01";"264.9";422;"264.9";422;"343.45";"343.45"
"1998-05-01";"56.2";"117.8";"56.2";"117.8";87;87
"1998-06-01";"5.9";"10.4";"5.9";"10.4";"8.15";"8.15"
"1998-07-01";"5.1";"25.4";"5.1";"25.4";"15.25";"15.25"
"1998-08-01";"0.3";1;"0.3";1;"0.65";"0.65"
"1998-09-01";"0.8";"4.8";"0.8";"4.8";"2.8";"2.8"
"1998-10-01";"1.2";"15.2";"1.2";"15.2";"8.2";"8.2"
"1998-11-01";"1.3";"28.5";"1.3";"28.5";"14.9";"14.9"
"1998-12-01";"0.2";"6.7";"0.2";"6.7";"3.45";"3.45"
"1999-01-01";3;"20.8";3;"20.8";"11.9";"11.9"
"1999-02-01";"0.8";"0.6";"0.8";"0.6";"0.7";"0.7"
"1999-03-01";"253.7";"258.9";"253.7";"258.9";"256.3";"256.3"
"1999-04-01";"170.3";"367.6";"170.3";"367.6";"268.95";"268.95"
"1999-05-01";"106.4";92;"106.4";92;"99.2";"99.2"
"1999-06-01";"50.1";"69.1";"50.1";"69.1";"59.6";"59.6"
"1999-07-01";"11.1";"14.8";"11.1";"14.8";"12.95";"12.95"
"1999-08-01";"8.1";"27.1";"8.1";"27.1";"17.6";"17.6"
"1999-09-01";"5.8";"11.6";"5.8";"11.6";"8.7";"8.7"
"1999-10-01";"1.6";"1.7";"1.6";"1.7";"1.65";"1.65"
"1999-11-01";"37.3";"68.4";"37.3";"68.4";"52.85";"52.85"
"1999-12-01";"4.2";"23.1";"4.2";"23.1";"13.65";"13.65"
"2000-01-01";10;"1.4";10;"1.4";"5.7";"5.7"
"2000-02-01";"3.1";2;"3.1";2;"2.55";"2.55"
"2000-03-01";"66.5";"121.6";"66.5";"121.6";"94.05";"94.05"
"2000-04-01";"47.6";"117.8";"47.6";"117.8";"82.7";"82.7"
"2000-05-01";"40.1";"54.1";"40.1";"54.1";"47.1";"47.1"
"2000-06-01";"22.2";27;"22.2";27;"24.6";"24.6"
"2000-07-01";"4.2";"4.4";"4.2";"4.4";"4.3";"4.3"
"2000-08-01";"15.9";"15.5";"15.9";"15.5";"15.7";"15.7"
"2000-09-01";"11.5";2;"11.5";2;"6.75";"6.75"
"2000-10-01";"1.1";6;"1.1";6;"3.55";"3.55"
"2000-11-01";"123.3";"17.5";"123.3";"17.5";"70.4";"70.4"
"2000-12-01";"30.7";"28.4";"30.7";"28.4";"29.55";"29.55"
"2001-01-01";"107.4";"136.4";"107.4";"136.4";"121.9";"121.9"
"2001-02-01";"45.6";"30.1";"45.6";"30.1";"37.85";"37.85"
"2001-03-01";"169.9";"182.9";"169.9";"182.9";"176.4";"176.4"
"2001-04-01";"107.2";294;"107.2";294;"200.6";"200.6"
"2001-05-01";"31.4";"145.4";"31.4";"145.4";"88.4";"88.4"
"2001-06-01";"10.5";"14.8";"10.5";"14.8";"12.65";"12.65"
"2001-07-01";0;1;0;1;"0.5";"0.5"
"2001-08-01";"2.7";"0.3";"2.7";"0.3";"1.5";"1.5"
"2001-09-01";"0.2";7;"0.2";7;"3.6";"3.6"
"2001-10-01";0;"11.5";0;"11.5";"5.75";"5.75"
"2001-11-01";"21.7";63;"21.7";63;"42.35";"42.35"
"2001-12-01";"1.8";"3.9";"1.8";"3.9";"2.85";"2.85"
"2002-01-01";"89.4";"69.5";"89.4";"69.5";"79.45";"79.45"
"2002-02-01";"66.3";"21.7";"66.3";"21.7";44;44
"2002-03-01";"101.6";"177.8";"101.6";"177.8";"139.7";"139.7"
"2002-04-01";"162.4";490;"162.4";490;"326.2";"326.2"
"2002-05-01";"27.1";"71.8";"27.1";"71.8";"49.45";"49.45"
"2002-06-01";"2.5";"1.6";"2.5";"1.6";"2.05";"2.05"
"2002-07-01";"0.7";"3.7";"0.7";"3.7";"2.2";"2.2"
"2002-08-01";"25.6";"39.8";"25.6";"39.8";"32.7";"32.7"
"2002-09-01";"19.2";"116.2";"19.2";"116.2";"67.7";"67.7"
"2002-10-01";"110.3";"72.3";"110.3";"72.3";"91.3";"91.3"
"2002-11-01";49;"27.1";49;"27.1";"38.05";"38.05"
"2002-12-01";"134.2";129;"134.2";129;"131.6";"131.6"
"2003-01-01";"9.7";"3.7";"9.7";"3.7";"6.7";"6.7"
"2003-02-01";"14.6";"10.1";"14.6";"10.1";"12.35";"12.35"
"2003-03-01";"18.4";62;"18.4";62;"40.2";"40.2"
"2003-04-01";"40.8";"159.4";"40.8";"159.4";"100.1";"100.1"
"2003-05-01";"188.9";"191.4";"188.9";"191.4";"190.15";"190.15"
"2003-06-01";"12.2";"53.8";"12.2";"53.8";33;33
"2003-07-01";"3.8";"9.7";"3.8";"9.7";"6.75";"6.75"
"2003-08-01";0;"2.8";0;"2.8";"1.4";"1.4"
"2003-09-01";5;"0.4";5;"0.4";"2.7";"2.7"
"2003-10-01";"7.3";0;"7.3";0;"3.65";"3.65"
"2003-11-01";0;"6.1";0;"6.1";"3.05";"3.05"
"2003-12-01";"43.1";19;"43.1";19;"31.05";"31.05"
"2004-01-01";"70.1";"83.5";"70.1";"83.5";"76.8";"76.8"
"2004-02-01";"120.1";"29.8";"120.1";"29.8";"74.95";"74.95"
"2004-03-01";"73.4";"48.2";"73.4";"48.2";"60.8";"60.8"
"2004-04-01";88;"200.4";88;"200.4";"144.2";"144.2"
"2004-05-01";"9.3";"65.4";"9.3";"65.4";"37.35";"37.35"
"2004-06-01";"7.5";"13.2";"7.5";"13.2";"10.35";"10.35"
"2004-07-01";0;"1.2";0;"1.2";"0.6";"0.6"
"2004-08-01";0;0;0;0;0;0
"2004-09-01";"1.9";0;"1.9";0;"0.95";"0.95"
"2004-10-01";"20.7";"65.3";"20.7";"65.3";43;43
"2004-11-01";"42.2";"27.6";"42.2";"27.6";"34.9";"34.9"
"2004-12-01";"87.2";"39.6";"87.2";"39.6";"63.4";"63.4"
"2005-01-01";29;"13.9";29;"13.9";"21.45";"21.45"
"2005-02-01";"2.1";"7.8";"2.1";"7.8";"4.95";"4.95"
"2005-03-01";95;"48.2";95;"48.2";"71.6";"71.6"
"2005-04-01";"137.4";"136.6";"137.4";"136.6";137;137
"2005-05-01";"79.5";"189.3";"79.5";"189.3";"134.4";"134.4"
"2005-06-01";"3.9";"10.7";"3.9";"10.7";"7.3";"7.3"
"2005-07-01";"2.7";"6.9";"2.7";"6.9";"4.8";"4.8"
"2005-08-01";"37.2";"16.5";"37.2";"16.5";"26.85";"26.85"
"2005-09-01";"2.2";"1.9";"2.2";"1.9";"2.05";"2.05"
"2005-10-01";"9.2";"26.2";"9.2";"26.2";"17.7";"17.7"
"2005-11-01";"12.2";"23.7";"12.2";"23.7";"17.95";"17.95"
"2005-12-01";12;"0.3";12;"0.3";"6.15";"6.15"
"2006-01-01";"25.9";19;"25.9";19;"22.45";"22.45"
"2006-02-01";"29.7";"3.1";"29.7";"3.1";"16.4";"16.4"
"2006-03-01";134;"169.3";134;"169.3";"151.65";"151.65"
"2006-04-01";122;"261.9";122;"261.9";"191.95";"191.95"
"2006-05-01";"45.3";"235.9";"45.3";"235.9";"140.6";"140.6"
"2006-06-01";"16.4";"31.2";"16.4";"31.2";"23.8";"23.8"
"2006-07-01";"3.4";10;"3.4";10;"6.7";"6.7"
"2006-08-01";"4.6";"2.9";"4.6";"2.9";"3.75";"3.75"
"2006-09-01";"11.4";"24.2";"11.4";"24.2";"17.8";"17.8"
"2006-10-01";"55.7";"88.4";"55.7";"88.4";"72.05";"72.05"
"2006-11-01";"143.8";"165.6";"143.8";"165.6";"154.7";"154.7"
"2006-12-01";"113.9";"69.2";"113.9";"69.2";"91.55";"91.55"
"2007-01-01";14;"43.8";14;"43.8";"28.9";"28.9"
"2007-02-01";"19.1";"27.1";"19.1";"27.1";"23.1";"23.1"
"2007-03-01";"103.5";"35.2";"103.5";"35.2";"69.35";"69.35"
"2007-04-01";"61.3";"145.8";"61.3";"145.8";"103.55";"103.55"
"2007-05-01";"63.1";"124.4";"63.1";"124.4";"93.75";"93.75"
"2007-06-01";"15.2";"9.3";"15.2";"9.3";"12.25";"12.25"
"2007-07-01";"3.8";26;"3.8";26;"14.9";"14.9"
"2007-08-01";18;"22.8";18;"22.8";"20.4";"20.4"
"2007-09-01";1;"5.8";1;"5.8";"3.4";"3.4"
"2007-10-01";"0.2";"11.7";"0.2";"11.7";"5.95";"5.95"
"2007-11-01";"31.7";"76.5";"31.7";"76.5";"54.1";"54.1"
"2007-12-01";"38.2";"77.4";"38.2";"77.4";"57.8";"57.8"
"2008-01-01";"5.2";"44.1";"5.2";"44.1";"24.65";"24.65"
"2008-02-01";"35.3";"40.6";"35.3";"40.6";"37.95";"37.95"
"2008-03-01";"240.5";"474.4";"240.5";"474.4";"357.45";"357.45"
"2008-04-01";"174.5";"237.9";"174.5";"237.9";"206.2";"206.2"
"2008-05-01";"24.8";"97.9";"24.8";"97.9";"61.35";"61.35"
"2008-06-01";"9.2";"15.7";"9.2";"15.7";"12.45";"12.45"
"2008-07-01";"3.6";"12.1";"3.6";"12.1";"7.85";"7.85"
"2008-08-01";1;"15.1";1;"15.1";"8.05";"8.05"
"2008-09-01";"11.5";"13.3";"11.5";"13.3";"12.4";"12.4"
"2008-10-01";"2.1";"20.1";"2.1";"20.1";"11.1";"11.1"
"2008-11-01";78;"56.4";78;"56.4";"67.2";"67.2"
"2008-12-01";"4.6";"19.8";"4.6";"19.8";"12.2";"12.2"
"2009-01-01";"17.4";"28.3";"17.4";"28.3";"22.85";"22.85"
"2009-02-01";"14.4";"47.9";"14.4";"47.9";"31.15";"31.15"
"2009-03-01";"10.8";"35.2";"10.8";"35.2";23;23
"2009-04-01";"43.5";"238.1";"43.5";"238.1";"140.8";"140.8"
"2009-05-01";"23.1";"53.2";"23.1";"53.2";"38.15";"38.15"
"2009-06-01";"8.7";"97.3";"8.7";"97.3";53;53
"2009-07-01";"2.2";"12.4";"2.2";"12.4";"7.3";"7.3"
"2009-08-01";"1.4";"10.7";"1.4";"10.7";"6.05";"6.05"
"2009-09-01";0;3;0;3;"1.5";"1.5"
"2009-10-01";43;"61.6";43;"61.6";"52.3";"52.3"
"2009-11-01";"93.6";"107.8";"94.6";108;"100.7";"101.3"
"2009-12-01";"56.7";"105.9";"57.6";"105.9";"81.3";"81.75"
"2010-01-01";"90.7";15;"90.7";15;"52.85";"52.85"
"2010-02-01";"10.3";"6.4";"11.3";"6.4";"8.35";"8.85"
"2010-03-01";169;109;169;109;139;139
"2010-04-01";"106.9";"509.4";"106.9";"509.4";"308.15";"308.15"
"2010-05-01";"64.9";"88.6";"64.9";"138.1";"76.75";"101.5"
"2010-06-01";"2.2";"8.3";"2.2";"8.3";"5.25";"5.25"
"2010-07-01";0;"3.5";0;"3.5";"1.75";"1.75"
"2010-08-01";"0.1";3;"0.1";3;"1.55";"1.55"
"2010-09-01";"1.7";"4.7";"0.7";"4.7";"3.2";"2.7"
"2010-10-01";0;"0.2";0;"0.1";"0.1";"0.05"
"2010-11-01";"12.5";"52.8";"12.5";"52.8";"32.65";"32.65"
"2010-12-01";"54.3";"59.2";"51.6";"59.2";"56.75";"55.4"
"2011-01-01";"2.4";"15.5";"2.4";"15.5";"8.95";"8.95"
"2011-02-01";"84.2";"36.4";"84.2";"36.4";"60.3";"60.3"
"2011-03-01";92;"78.7";92;"78.7";"85.35";"85.35"
"2011-04-01";"41.6";"183.2";"41.6";"183.2";"112.4";"112.4"
"2011-05-01";"84.4";"122.2";"84.4";"122.2";"103.3";"103.3"
"2011-06-01";"1.7";"2.8";"1.7";"2.8";"2.25";"2.25"
"2011-07-01";0;0;0;0;0;0
"2011-08-01";0;1;0;1;"0.5";"0.5"
"2011-09-01";"10.5";"0.4";"10.5";"0.4";"5.45";"5.45"
"2011-10-01";"74.6";"94.1";"74.6";"94.1";"84.35";"84.35"
"2011-11-01";"32.3";"73.3";"32.3";"73.3";"52.8";"52.8"
"2011-12-01";"68.3";"18.8";"68.3";"18.8";"43.55";"43.55"
"2012-01-01";"1.5";0;"1.5";0;"0.75";"0.75"
"2012-02-01";"22.6";"62.5";"22.6";"62.5";"42.55";"42.55"
"2012-03-01";"33.4";"21.2";"33.4";"21.2";"27.3";"27.3"
"2012-04-01";"143.2";"123.2";"143.2";"123.2";"133.2";"133.2"
"2012-05-01";"46.5";"55.1";"46.5";"55.1";"50.8";"50.8"
"2012-06-01";"0.7";0;"0.7";0;"0.35";"0.35"
"2012-07-01";0;"2.1";0;"2.1";"1.05";"1.05"
"2012-08-01";"24.1";"43.6";"24.1";"43.6";"33.85";"33.85"
"2012-09-01";0;"1.1";0;"1.1";"0.55";"0.55"
"2012-10-01";"13.9";0;"13.9";0;"6.95";"6.95"
"2012-11-01";112;"94.9";112;"94.9";"103.45";"103.45"
"2012-12-01";"31.3";"41.2";"31.3";"41.2";"36.25";"36.25"
"2013-01-01";"72.7";"33.6";"72.7";"33.6";"53.15";"53.15"
"2013-02-01";"1.1";0;"1.1";0;"0.55";"0.55"
"2013-03-01";"140.6";"152.2";"140.6";"152.2";"146.4";"146.4"
"2013-04-01";90;"390.1";90;"390.1";"240.05";"240.05"
"2013-05-01";"61.3";"46.8";"61.3";"46.8";"54.05";"54.05"
"2013-06-01";1;"8.7";1;"8.7";"4.85";"4.85"
"2013-07-01";"0.9";2;"0.9";2;"1.45";"1.45"
"2013-08-01";"5.9";"7.3";"5.9";"7.3";"6.6";"6.6"
"2013-09-01";"0.8";"4.2";"0.8";"4.2";"2.5";"2.5"
"2013-10-01";"0.2";"3.5";"0.2";"3.5";"1.85";"1.85"
"2013-11-01";"34.3";"56.2";"34.3";"56.2";"45.25";"45.25"
"2013-12-01";"83.8";"55.1";"83.8";"55.1";"69.45";"69.45"
